time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","OBD Module Voltage (V)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
20:37:26.600,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:26.808,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,
20:37:27.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
20:37:27.381,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:27.707,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
20:37:28.029,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
20:37:28.557,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:28.819,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,
20:37:29.069,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
20:37:29.344,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:29.593,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
20:37:30.024,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:30.292,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,
20:37:30.535,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,
20:37:30.833,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:31.141,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,
20:37:31.544,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
20:37:34.059,,,,,,,-0.013250000000000029,,,,,,,,,,,,,,,,,,,,,100,,,,,
20:37:34.516,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,0,,,
20:37:34.819,,,,,,,,,0,,,,,,0,0,,,,,,,,,,0,,,,,,,
20:37:35.132,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,
20:37:35.463,,,,,,,-0.013250000000000029,,,,,,,,,,,,,,,,,,,,,100,,,,,
20:37:35.888,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,0,,,
20:37:36.118,,,,,,,,,0,,,,,,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,
20:37:36.506,,,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,
