"SECONDS";"PID";"VALUE";"UNITS";
"35622.3522665";"Engine RPM";"0";"rpm";
"35622.3522665";"Engine RPM x1000";"0";"rpm";
"35622.73206";"Engine coolant temperature";"24";"℃";
"35623.0048893";"Vehicle speed";"0";"km/h";
"35623.3372991";"Engine RPM";"0";"rpm";
"35623.3372991";"Engine RPM x1000";"0";"rpm";
"35623.6792207";"Intake air temperature";"27";"℃";
"35623.9315463";"Average speed";"0";"km/h";
"35623.9315463";"Distance travelled";"0";"km";
"35623.9315463";"Distance travelled (Today)";"0";"km";
"35623.9315463";"Distance travelled (total)";"65.957169";"km";
"35623.9315463";"Distance travelled (Week)";"65.957169";"km";
"35623.9315463";"Vehicle speed";"0";"km/h";
"35624.2833059";"Engine RPM";"0";"rpm";
"35624.2833059";"Engine RPM x1000";"0";"rpm";
"35624.5454081";"Engine coolant temperature";"24";"℃";
"35624.7824431";"Average speed";"0";"km/h";
"35624.7824431";"Distance travelled";"0";"km";
"35624.7824431";"Distance travelled (Today)";"0";"km";
"35624.7824431";"Distance travelled (total)";"65.957169";"km";
"35624.7824431";"Distance travelled (Week)";"65.957169";"km";
"35624.7824431";"Vehicle speed";"0";"km/h";
"35625.1365447";"Engine RPM";"0";"rpm";
"35625.1365447";"Engine RPM x1000";"0";"rpm";
"35625.4215189";"Average speed";"0";"km/h";
"35625.4215189";"Distance travelled";"0";"km";
"35625.4215189";"Distance travelled (Today)";"0";"km";
"35625.4215189";"Distance travelled (total)";"65.957169";"km";
"35625.4215189";"Distance travelled (Week)";"65.957169";"km";
"35625.4215189";"Vehicle speed";"0";"km/h";
"35625.8275717";"Engine RPM";"0";"rpm";
"35625.8275717";"Engine RPM x1000";"0";"rpm";
"35626.097035";"Engine coolant temperature";"24";"℃";
"35626.3294689";"Average speed";"0";"km/h";
"35626.3294689";"Distance travelled";"0";"km";
"35626.3294689";"Distance travelled (Today)";"0";"km";
"35626.3294689";"Distance travelled (total)";"65.957169";"km";
"35626.3294689";"Distance travelled (Week)";"65.957169";"km";
"35626.3294689";"Vehicle acceleration";"0";"g";
"35626.3294689";"Vehicle speed";"0";"km/h";
"35626.6794476";"Engine RPM";"0";"rpm";
