time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
16:20:13.879,,,,,,,-0.013250000000000029,,,,,,,,,,,,,,,,,,,,100,,,,
16:20:14.345,,,,,,,-0.013250000000000029,,,,,,,,,-1,,,,,,,,,,,100,0,,,
16:20:14.529,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,,,
16:20:14.764,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,-0,0,
16:20:14.996,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,-0,0,
16:20:15.438,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,-0,0,
16:20:15.678,,,,,19.636390540238498,,-0.013250000000000029,,0,,,,,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:15.974,,,,,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:16.294,,,,,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:16.749,,,,,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:16.976,,17.45381885737137,15.479070484156036,16.330241019602457,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:17.292,,17.45381885737137,15.479070484156036,16.330241019602457,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:17.609,,17.45381885737137,15.479070484156036,16.330241019602457,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:18.082,,17.45381885737137,15.479070484156036,16.330241019602457,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
16:20:18.309,,17.45381885737137,15.479070484156036,16.330241019602457,19.636390540238498,0,-0.013250000000000029,,0,0,19.334974,199.69941999999998,113.221023,0,0,-1,0,1.107779,12.901254,6.933212,0,127.394585,1249.0320438200001,797.3193799999999,0,,100,0,-0,0,
