time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:32:12.344,,,,,,,,1.1367145922998956,,,,,1169,1.2,,,,,,,,,,4.447052443157688,,,
19:32:12.666,,,,,,,,1.1367145922998956,,,,,1169,1.2,,,,,,,,,,4.447052443157688,-0,0,
19:32:12.953,101605.90478572245,,,,20.977444372968925,,,1.1396317383879193,,,,,1172,1.2,,0.00019266721801072567,1.050052,17.90171,1.050052,0.022156730071233453,120.75598,1824.08448382,120.75598,4.458464895963053,-0,0,
19:32:13.253,101605.90478572245,,,,20.977444372968925,0,,1.1396317383879193,0,19.576139,303.780457,19.576139,1172,1.2,,0.00019266721801072567,1.050052,17.90171,1.050052,0.022156730071233453,120.75598,1824.08448382,120.75598,4.458464895963053,-0,0,
19:32:13.577,101605.90478572245,18.639557170836955,16.969169314662324,18.639557170836955,20.977444372968925,0,,1.126018389977142,0,19.576139,303.780457,19.576139,1158,1.2,,0.000387594888875912,1.050247,17.901905,1.050247,0.04457341222072988,120.77840499999999,1824.1069088200002,120.77840499999999,4.405206782871345,-0,0,
19:32:13.875,101605.90478572245,18.639557170836955,16.969169314662324,18.639557170836955,20.977444372968925,0,,1.126018389977142,0,19.576139,303.780457,19.576139,1158,1.2,,0.000387594888875912,1.050247,17.901905,1.050247,0.04457341222072988,120.77840499999999,1824.1069088200002,120.77840499999999,4.405206782871345,-0,0,
19:32:14.176,101605.90478572245,18.636309892139412,16.96899585121021,18.636309892139412,20.977444372968925,0,,1.098791693155588,0,19.576139,303.780457,19.576139,1130,1.1,,0.0005704835774631086,1.05043,17.902088,1.05043,0.06560561140825749,120.79945,1824.1279538200001,120.79945,4.298690556687927,-0,0,
19:32:14.481,101605.90478572245,18.636309892139412,16.96899585121021,18.636309892139412,20.977444372968925,0,,1.098791693155588,0,19.576139,303.780457,19.576139,1130,1.1,,0.0005704835774631086,1.05043,17.902088,1.05043,0.06560561140825749,120.79945,1824.1279538200001,120.79945,4.298690556687927,-0,0,
19:32:14.823,101605.90478572245,18.632797717174874,16.96880817343662,18.632797717174874,20.977444372968925,0,,1.1017088392436114,0,19.576139,303.780457,19.576139,1133,1.1,,0.0007683423139840368,1.050628,17.902286,1.050628,0.08835936610816424,120.82221999999999,1824.1507238200002,120.82221999999999,4.310103009493292,-0,0,
19:32:15.121,101605.90478572245,18.632797717174874,16.96880817343662,18.632797717174874,20.977444372968925,0,,1.1017088392436114,0,19.576139,303.780457,19.576139,1133,1.1,,0.0007683423139840368,1.050628,17.902286,1.050628,0.08835936610816424,120.82221999999999,1824.1507238200002,120.82221999999999,4.310103009493292,0,0,
