time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:05:40.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0,0,
09:05:41.110,,,,,,-0.68325,,,,,,,,,,,,,,,,,,,,33,,-0,0,
09:05:41.595,,,,,,-0.68325,,,,,,,,,-1,,,,,,,,,,,33,0,-0,0,
09:05:41.804,,,,,,-0.68325,,0.4463038563860137,,,,,1283,1.3,-1,,,,,,,,,1.7460290106036516,,33,0,-0,0,
09:05:42.045,,,,,0,-0.68325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,-1,,,,,,,,,1.7460290106036516,,33,0,-0,0,
09:05:42.252,,,,,0,-0.68325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,-1,,,,,,,,,1.7460290106036516,,33,0,-0,0,
09:05:42.721,,,,,0,-0.68325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,-1,,,,,,,,,1.7460290106036516,,33,0,-0,0,
09:05:42.947,,,16.864924510433575,,0,-0.68325,,0.4442166988347151,0,0,284.204318,0,1277,1.3,-1,0.00014074317566694755,0.000141,16.851799,0.000141,0.016185465201698966,0.016215,1703.3447188200003,0.016215,1.7378636372103369,,33,0,-0,0,
09:05:43.185,,,16.864924510433575,,0,-0.68325,,0.4442166988347151,0,0,284.204318,0,1277,1.3,-1,0.00014074317566694755,0.000141,16.851799,0.000141,0.016185465201698966,0.016215,1703.3447188200003,0.016215,1.7378636372103369,,33,0,-0,0,
09:05:43.399,,,16.864924510433575,,0,-0.68325,,0.4442166988347151,0,0,284.204318,0,1277,1.3,-1,0.00014074317566694755,0.000141,16.851799,0.000141,0.016185465201698966,0.016215,1703.3447188200003,0.016215,1.7378636372103369,,33,0,-0,0,
09:05:43.856,,,16.864924510433575,,0,-0.68325,,0.4442166988347151,0,0,284.204318,0,1277,1.3,-1,0.00014074317566694755,0.000141,16.851799,0.000141,0.016185465201698966,0.016215,1703.3447188200003,0.016215,1.7378636372103369,,33,0,-0,0,
09:05:44.103,,,16.86477939874474,,0,-0.68325,,0.4501303118967277,0,0,284.204318,0,1294,1.3,-1,0.0002852695282799957,0.000286,16.851944,0.000286,0.03280599575219951,0.03289,1703.36139382,0.03289,1.7609988618247268,,33,0,-0,0,
