time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
08:39:26.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
08:39:27.171,,,,,,,-0.71325,,,,,,,,,,,,,,,,,,,,,,30,,,0,
08:39:27.725,,,,,,,-0.71325,,,,,,,,,,,1,,,,,,,,,,,30,0,,0,
08:39:27.985,,,,,,,-0.71325,,,1.5166940806637639,,,,,,1213,1.2,1,,,,,,,,,5.933607400334252,,30,0,,0,
08:39:28.281,,,,,,0,-0.71325,,,1.5166940806637639,0,0,360.903994,0,,1213,1.2,1,,,,,,,,,5.933607400334252,,30,0,,0,
08:39:28.551,,,,,,0,-0.7232500000000001,,,1.5166940806637639,0,0,360.903994,0,,1213,1.2,1,,,,,,,,,5.933607400334252,,29,0,,0,
08:39:28.999,,,,,,0,-0.7232500000000001,,,1.5166940806637639,0,0,360.903994,0,,1213,1.2,1,,,,,,,,,5.933607400334252,,29,0,,0,
08:39:29.250,,,16.666474743412323,,,0,-0.7232500000000001,,,1.4105379986783122,0,0,360.903994,0,,1167,1.2,1,0.00048068964333703357,0.000481,21.654489,0.000481,0.05527930898375886,0.055314999999999996,2255.6540688200002,0.055314999999999996,5.518303799107231,,29,0,,0,
08:39:29.566,,,16.666474743412323,,,0,-0.7232500000000001,,,1.4105379986783122,0,0,360.903994,0,,1167,1.2,1,0.00048068964333703357,0.000481,21.654489,0.000481,0.05527930898375886,0.055314999999999996,2255.6540688200002,0.055314999999999996,5.518303799107231,31,29,0,,0,
08:39:29.806,,,16.666474743412323,,,0,-0.7232500000000001,,,1.4105379986783122,0,0,360.903994,0,,1167,1.2,1,0.00048068964333703357,0.000481,21.654489,0.000481,0.05527930898375886,0.055314999999999996,2255.6540688200002,0.055314999999999996,5.518303799107231,31,29,0,,0,
08:39:29.984,,,16.666474743412323,,,0,-0.71325,,,1.4105379986783122,0,0,360.903994,0,,1167,1.2,1,0.00048068964333703357,0.000481,21.654489,0.000481,0.05527930898375886,0.055314999999999996,2255.6540688200002,0.055314999999999996,5.518303799107231,31,30,0,,0,
08:39:30.451,,,16.666474743412323,,,0,-0.71325,,,1.4105379986783122,0,0,360.903994,0,,1167,1.2,1,0.00048068964333703357,0.000481,21.654489,0.000481,0.05527930898375886,0.055314999999999996,2255.6540688200002,0.055314999999999996,5.518303799107231,31,30,0,,0,
08:39:30.678,,,16.66606991498274,,,0,-0.71325,,,1.3250509637221037,0,0,360.903994,0,,1180,1.2,1,0.0010064737672809132,0.001007,21.655015000000002,0.001007,0.11574448323730502,0.115805,2255.71455882,0.115805,5.183861600304161,31,30,0,,0,
08:39:30.923,,,16.66606991498274,,,0,-0.71325,,,1.3250509637221037,0,0,360.903994,0,,1180,1.2,1,0.0010064737672809132,0.001007,21.655015000000002,0.001007,0.11574448323730502,0.115805,2255.71455882,0.115805,5.183861600304161,31,30,0,,0,
08:39:31.150,,,16.66606991498274,,,0,-0.71325,,,1.3250509637221037,0,0,360.903994,0,,1180,1.2,1,0.0010064737672809132,0.001007,21.655015000000002,0.001007,0.11574448323730502,0.115805,2255.71455882,0.115805,5.183861600304161,31,30,0,,0,
08:39:31.597,,,16.66606991498274,,,0,-0.71325,,,1.3250509637221037,0,0,360.903994,0,,1180,1.2,1,0.0010064737672809132,0.001007,21.655015000000002,0.001007,0.11574448323730502,0.115805,2255.71455882,0.115805,5.183861600304161,31,30,0,,0,
